probeset_id	gene_symbol
32103_at SERPINF2
903_at PPP2R5A
41567_at TCF15
33462_at P2RY14
39020_at SIVA1
36930_at GNL2
38158_at ESPL1
39322_at KLHL25
36376_at SLC26A4
38963_i_at WAS
41072_at CAV3
38973_at HIC2
34865_at NDUFS6
39785_at CEP57
1327_s_at MAP3K5
36923_at FPGS
33293_at FAIM2
38874_s_at PRPH2
32076_at RCAN2
37320_at PTDSS1
33185_at CLCC1
39906_r_at ARFGAP3
34864_at CNPPD1
39052_at KRT14
38495_s_at FUT3
40175_at FAM131A
41050_at TAF5
282_at KIF20B
1633_g_at PIM2
37500_at ZNF175
39974_at ENTPD3
36032_at HSPB11
33154_at PSMB4
36556_at ARHGAP44
32821_at LCN2
36800_at OCA2
39931_at DYRK3
33555_at LILRA4
37567_at SALL2
34860_g_at MAGED2
39517_at C5orf15
35124_at ALOX12
36514_at CGRRF1
37411_at ACAP1
37930_at ATP7B
40847_at MICAL2
39634_at SLIT2
39080_at KDELR2
31966_at DIO1
38589_i_at PTMA
41160_at MBD3
36008_at PTP4A3
34251_at HOXB5
40070_at RBM10
34433_at DOK1
31478_at CELA2B
41470_at PROM1
33553_r_at CCR6
38250_at WDR43
32786_at JUNB
39261_at ZBTB48
34879_at DPM1
37184_at STX1A
40979_at AHSA1
33522_at ASIP
33903_at DAPK3
35779_at VPS45
38102_at EFHA1
659_g_at THBS2
37944_at GCH1
39003_at PTTG1IP
35137_at MYOM1
40610_at ZFR
35824_at ZNF238
36359_at PRKACG
32323_at TRH
37827_r_at DOPEY2
32744_at RPS21
33990_at ALB
33061_at C16orf3
40061_at PLAGL2
32748_at RPS27
37557_at SLC4A2
39545_at CDKN1C
41328_s_at EML2
32243_g_at CRYAB
33747_s_at SNHG3
38370_at TIAM1
40045_g_at C18orf1
34304_s_at SAT1
41009_at ANO3
35778_at KIF5C
33980_at PFKFB1
39784_at EIF2S1
36119_at CAV1
39016_r_at KRT6A
39876_at ENTPD6
33912_at ZMPSTE24
40916_at BEX4
37147_at CLEC11A
34048_at GK2
35847_at USP24
37104_at PPARG
38712_at SUCO
37030_at FAF2
32825_at PRMT1
32106_at SERPINA4
33241_at MFAP3L
39044_s_at DGKD
41724_at BCAP31
35864_at ACR
35481_at MYO16
34942_at CNIH3
33193_at WIPI1
40923_at SLC36A1
1373_at TCF3
32722_at ARG2
32832_at MAEA
40361_at CCT6B
40635_at FLOT1
33228_g_at IL10RB
35454_at PLCH2
33764_at GABBR2
34874_at PNPLA6
38817_at SPAG7
41523_at RAB32
35039_at DCUN1D4
35240_at WDR73
33897_at PI4K2A
38073_at RNMT
35832_at SULF1
37002_at BLVRB
32118_at RAD17
35727_at UCKL1
39611_at EFNA5
37908_at GNG11
38688_at POGZ
40009_at AFF2
39969_at HIST1H4C
34892_at TNFRSF10B
38646_s_at REG1A
39943_at ORC2
40508_at GSTA4
38385_at DSTN
37202_at F2
35460_at GPR4
34247_at PRSS12
34256_at ST3GAL5
31824_at ME1
38717_at METTL7A
33346_r_at TUBG1
34984_at TRPC3
38313_at ABCA2
41028_at RYR3
36647_at IARS2
33013_at PDHA2
34818_at ETV5
36816_s_at CFTR
34303_at ZCCHC24
40024_at STAC
41407_at RDBP
36909_at WEE1
39095_at MYH7
40762_g_at SLC16A5
40157_s_at MYL1
721_g_at HSF4
40647_at XK
41632_at E2F3
36197_at CHI3L1
36496_at IMPA2
32079_at KIF13B
35074_at JRKL
34675_at STON1
33249_at NR3C2
39307_s_at CLTB
41077_at ZNF862
33454_at AGRN
37740_r_at SLC25A5
39798_at RPS28
41771_g_at MAOA
36322_at FUT7
36529_at TRAPPC6A
37032_at NNMT
36511_at SACM1L
36949_at CSNK1D
37991_at STT3A
39669_at ANXA9
