probeset_id	gene_symbol
206186_at MPP3
212034_s_at EXOC7
201587_s_at IRAK1
205267_at POU2AF1
212346_s_at MXD4
217627_at ZNF573
219286_s_at RBM15
208970_s_at UROD
206493_at ITGA2B
209787_s_at HMGN4
221238_at HMGN5
204475_at MMP1
205003_at DOCK4
205372_at PLAG1
207987_s_at GNRH1
212043_at TGOLN2
212176_at PNISR
208079_s_at AURKA
204939_s_at PLN
206673_at GPR176
219040_at CORO7
221457_s_at BTNL2
221619_s_at MTCH1
207030_s_at CSRP2
201864_at GDI1
206484_s_at XPNPEP2
212585_at OSBPL8
220514_at LOC100505870
202116_at DPF2
206140_at LHX2
222075_s_at OAZ3
202237_at NNMT
214297_at CSPG4
90265_at ADAP1
200834_s_at RPS21
202620_s_at PLOD2
205685_at CD86
206143_at SLC26A3
212910_at THAP11
219706_at AP5S1
207218_at F9
211946_s_at PRRC2C
217783_s_at YPEL5
210386_s_at MTX1
212841_s_at PPFIBP2
219511_s_at SNCAIP
201190_s_at PITPNA
201506_at TGFBI
220443_s_at VAX2
220820_at LOC100996610
200025_s_at RPL27
213578_at BMPR1A
213720_s_at SMARCA4
215011_at SNHG3
212904_at LRRC47
214210_at SLC25A17
214051_at TMSB15B
217106_x_at DIMT1
204894_s_at AOC3
214955_at TMPRSS6
220519_s_at LIM2
218922_s_at CERS4
219801_at ZNF34
221315_s_at FGF22
213883_s_at TM2D1
214203_s_at PRODH
221022_s_at PMFBP1
207736_s_at TNP2
209272_at NAB1
211766_s_at PNLIPRP2
212295_s_at SLC7A1
206106_at MAPK12
206096_at ZNF35
218159_at DDRGK1
219732_at LPPR1
204826_at CCNF
216779_at CYLC1
218735_s_at ZNF544
205143_at NCAN
208398_s_at TBPL1
215030_at GRSF1
222259_s_at SPO11
208845_at VDAC3
210397_at DEFB1
200961_at SEPHS2
207510_at BDKRB1
213930_at ATG12
220644_at LOC100996493
201046_s_at RAD23A
204158_s_at TCIRG1
213019_at RANBP6
205804_s_at TRAF3IP3
210297_s_at MSMB
219065_s_at MEMO1
221611_s_at PHF7
207729_at CDH9
208017_s_at MCF2
210512_s_at VEGFA
212285_s_at AGRN
212518_at PIP5K1C
216338_s_at YIPF3
219281_at MSRA
220806_x_at GNG13
213852_at RBM8A
214075_at NENF
220160_s_at KPTN
214260_at COPS8
205176_s_at ITGB3BP
209748_at SPAST
213827_at ARHGAP33
207768_at EGR4
206222_at TNFRSF10C
200015_s_at SEPT2
213198_at ACVR1B
217226_s_at SFXN3
219800_s_at THNSL1
203580_s_at SLC7A6
218784_s_at SAYSD1
222105_s_at NKIRAS2
200623_s_at CALM3
212615_at CHD9
213400_s_at TBL1X
219301_s_at CNTNAP2
33767_at NEFH
201719_s_at EPB41L2
203438_at STC2
207267_s_at DSCR6
202888_s_at ANPEP
209001_s_at ANAPC13
217555_at SMC1A
217977_at MSRB1
218068_s_at ZNF672
220284_at DKKL1
210822_at RPL13P5
214323_s_at UPF3A
220545_s_at TSKS
200071_at SMNDC1
206455_s_at RHO
213155_at WSCD1
217798_at CNOT2
221979_at LOC100129250
220118_at ZBTB32
212490_at DNAJC8
213589_s_at B3GNTL1
218387_s_at PGLS
36545_s_at SFI1
202235_at SLC16A1
205904_at MICA
206037_at CCBL1
209242_at PEG3
219370_at RPRM
208377_s_at CACNA1F
221844_x_at SPCS3
205109_s_at ARHGEF4
206601_s_at HOXD3
218350_s_at GMNN
218463_s_at MUS81
221784_at WIZ
221175_at C3orf36
221621_at LINC00338
222302_at LOC100507009
212473_s_at MICAL2
218061_at MEA1
202306_at POLR2G
206080_at PLCH2
206853_s_at MAP3K7
203335_at PHYH
205826_at MYOM2
207175_at ADIPOQ
213764_s_at MFAP5
211576_s_at SLC19A1
202344_at HSF1
208424_s_at CIAPIN1
214418_at CT62
220140_s_at SNX11
208760_at UBE2I
212701_at TLN2
212788_x_at FTL
218069_at DCTPP1
218707_at ZNF444
200840_at KARS
212499_s_at FCF1
222010_at TCP1
201290_at SEC11A
204995_at CDK5R1
213712_at ELOVL2
203663_s_at COX5A
203848_at AKAP8
212576_at MGRN1
209871_s_at APBA2
213452_at ZNF184
219115_s_at IL20RA
203164_at SLC33A1
206091_at MATN3
207681_at CXCR3
201999_s_at DYNLT1
211093_at PDE6C
222317_at PDE3B
220162_s_at CARD9
203108_at GPRC5A
207196_s_at TNIP1
204379_s_at FGFR3
206765_at KCNJ2
218543_s_at PARP12
203162_s_at KATNB1
207618_s_at BCS1L
218532_s_at FAM134B
220846_s_at LOC100506504
204777_s_at MAL
210321_at GZMH
212927_at SMC5
207457_s_at LY6G6D
208311_at GPR50
201717_at MRPL49
204146_at RAD51AP1
206272_at SPHAR
207209_at CETN1
213171_s_at MMP24
213849_s_at PPP2R2B
222321_at AGTR2
203498_at RCAN2
219045_at RHOF
200043_at ERH
204954_s_at DYRK1B
206858_s_at HOXC6
209110_s_at RGL2
209392_at ENPP2
218103_at FTSJ3
218434_s_at AACS
219702_at PLAC1
207174_at GPC5
213049_at RALGAPA1
218658_s_at ACTR8
221193_s_at ZCCHC10
222251_s_at GMEB2
220047_at SIRT4
221319_at PCDHB8
222383_s_at ALOXE3
200006_at PARK7
201336_at VAMP3
203122_at TRAPPC12
219385_at SLAMF8
200094_s_at EEF2
204094_s_at TSC22D2
212447_at KBTBD2
38158_at ESPL1
214624_at UPK1A
201119_s_at COX8A
201300_s_at PRNP
204286_s_at PMAIP1
213130_at ZNF473
219394_at PGS1
220103_s_at MRPS18C
204570_at COX7A1
206721_at C1orf114
214246_x_at MINK1
204918_s_at MLLT3
213427_at RPP40
218437_s_at LZTFL1
208107_s_at LOC81691
214357_at C1orf105
217905_at MCMBP
204206_at MNT
213062_at NTAN1
220636_at DNAI2
200600_at MSN
204634_at NEK4
214043_at PTPRD
214823_at ZNF204P
204639_at ADA
207725_at POU4F2
214053_at ERBB4
213911_s_at H2AFZ
214572_s_at INSL3
218652_s_at PIGG
221800_s_at C17orf70
212873_at HMHA1
209723_at SERPINB9
202683_s_at RNMT
204744_s_at IARS
206150_at CD27
206867_at GCKR
206960_at LPAR4
219230_at TMEM100
219663_s_at TMEM121
203453_at SCNN1A
203903_s_at HEPH
213975_s_at LYZ
215503_at SPINT3
207792_at OPRD1
210335_at RASSF9
214627_at EPX
219363_s_at MTERFD1
205241_at SCO2
209816_at PTCH1
210752_s_at MLX
213316_at KIAA1462
213587_s_at ATP6V0E2
218301_at RNPEPL1
210587_at INHBE
200719_at SKP1
201681_s_at DLG5
208004_at PROL1
220795_s_at BEGAIN
203269_at NSMAF
208400_at GLP1R
210169_at SEC14L5
212899_at CDK19
220027_s_at RASIP1
221480_at HNRNPD
207102_at AKR1D1
204368_at SLCO2A1
213506_at F2RL1
215704_at FLG
219836_at ZBED2
200819_s_at RPS15
213066_at RUSC2
217528_at CLCA2
213178_s_at MAPK8IP3
207067_s_at HDC
206677_at KRT31
200740_s_at SUMO3
203060_s_at PAPSS2
206985_at HSD17B3
209654_at KIAA0947
210341_at MYT1
213920_at CUX2
218306_s_at HERC1
219284_at HSPBAP1
41160_at MBD3
210312_s_at IFT20
218330_s_at NAV2
219890_at CLEC5A
220356_at CORIN
204078_at LEPREL4
214198_s_at DGCR2
200766_at CTSD
202286_s_at TACSTD2
204458_at PLA2G15
213608_s_at SRRD
218638_s_at SPON2
201449_at TIA1
203494_s_at CEP57
207050_at CACNA2D1
210040_at SLC12A5
211023_at PDHB
211038_s_at CROCCP2
217913_at VPS4A
207787_at KRT33B
208338_at P2RX3
213093_at PRKCA
213609_s_at SEZ6L
217954_s_at PHF3
218650_at DGCR8
203897_at LYRM1
209351_at KRT14
209482_at POP7
211951_at NOLC1
221488_s_at CUTA
202289_s_at TACC2
206247_at MICB
209118_s_at TUBA1A
218910_at ANO10
200845_s_at PRDX6
206416_at ZNF205
53202_at C7orf25
211961_s_at RAB7A
212098_at MGAT5
212511_at PICALM
213440_at RAB1A
219438_at NKAIN1
221389_at PLA2G2E
217690_at ENOSF1
205454_at HPCA
210006_at ABHD14A
212248_at MTDH
212681_at EPB41L3
214081_at PLXDC1
212973_at RPIA
220970_s_at KRTAP2-4
200945_s_at SEC31A
201092_at RBBP7
204254_s_at VDR
208774_at CSNK1D
210623_at UBXN1
212429_s_at GTF3C2
212646_at RFTN1
219468_s_at CUEDC1
206793_at PNMT
208131_s_at PTGIS
214534_at HIST1H1B
201579_at FAT1
203362_s_at MAD2L1
206984_s_at RIT2
213135_at TIAM1
218776_s_at TMEM62
207269_at DEFA4
207760_s_at NCOR2
212948_at CAMTA2
214585_s_at VPS52
208369_s_at GCDH
209798_at NPAT
213244_at SCAMP4
217521_at HAL
212905_at CSTF2T
213625_at ZKSCAN4
215241_at ANO3
218205_s_at MKNK2
218447_at CMC2
218637_at IMPACT
205047_s_at ASNS
207302_at SGCG
213007_at FANCI
218204_s_at FYCO1
218803_at CHFR
219025_at CD248
207899_at GIP
221469_at GPR32
207139_at ATP4A
204022_at WWP2
214965_at SPATA2L
203292_s_at VPS11
204519_s_at PLLP
214592_s_at SNAPC5
219205_at SRR
219261_at C7orf26
