"standard_error_adjusted_res"	"coefficient_adjusted_res"	"fold_change_up_or_down_regulated_res"	"p_adjusted_res"
"200648_s_at"	0.0779071777613242	0.147730404647004	1.10782531002644	0.0628287837971096
"200649_at"	0.0381746792473323	-0.0699274587049555	-1.04966390331184	0.0720341494742861
"200650_s_at"	0.0458541282146068	-0.118177111476454	-1.08536260750641	0.0124788503166129
"200651_at"	0.0379881626943813	-0.0759928211210791	-1.05408617812412	0.0500622195965475
"200652_at"	0.0184573372968805	-0.0201719905862927	-1.01408036596202	0.278880916857573
"200653_s_at"	0.0288769185807646	-0.0266312189965921	-1.01863078143051	0.360163584789115
"200654_at"	0.0271309400963643	0.00502953591883647	1.00349229253487	0.853566757861626
"200655_s_at"	0.0184948683026176	0.0260448175498234	1.01821683034033	0.164314117891353
"200656_s_at"	0.0387601006878915	-0.0777426137296027	-1.0553654167198	0.0494767700622966
"200657_at"	0.0442646683473711	-0.0573845864043974	-1.040577621513	0.199886622041346
"200658_s_at"	0.0396217984400546	0.0135365385641596	1.00942697013156	0.733832902690323
"200659_s_at"	0.0268342538139241	0.074659003099224	1.05311209186601	0.00723890846289031
"200660_at"	0.0486859222401188	-0.0907327795949488	-1.06491093905125	0.0673517406492716
"200661_at"	0.0267209028977051	0.0112778186282253	1.00784782217244	0.674515397957802
"200662_s_at"	0.0342925070779445	0.0755602086678112	1.05377014290479	0.0314827237825427
"200663_at"	0.0290840226073293	0.00490720585533638	1.00340720728256	0.866589950945633
"200664_s_at"	0.116101885329	-0.165583799219951	-1.12161985953669	0.15908248406207
"200665_s_at"	0.0687921900458013	-0.0310213453509368	-1.02173519965478	0.653683758982186
"200666_s_at"	0.0966951666856354	-0.0931960579609614	-1.06673073651331	0.339073556769342
"200667_at"	0.0315674969953047	-0.100108709221281	-1.07185422530665	0.00240845888378162
"200668_s_at"	0.0451728329612438	-0.194733764565656	-1.14451293230277	6.26096750951351e-05
"200669_s_at"	0.0467924553057264	-0.0520675081261224	-1.03674961257909	0.270336376690064
"200670_at"	0.0383653280346849	-0.0535686618278056	-1.03782893318884	0.167862213614601
"200671_s_at"	0.0539972627154808	-0.113262364540415	-1.0816714553852	0.0402377419291218
"200672_x_at"	0.0405684442365894	-0.0685540952062559	-1.04866515851738	0.0963368995747378
"200673_at"	0.0360763990571411	0.0349399666863076	1.02451419014109	0.336748628164432
"200674_s_at"	0.0205542591690721	0.0166579513133039	1.01161332910447	0.42094553012575
"200675_at"	0.0413763627720993	0.0286908152004639	1.02008602060237	0.490772708169039
"200676_s_at"	0.0418553917619486	-0.0367664559667265	-1.02581207303898	0.383281254048836
"200677_at"	0.0350692340824096	0.140702655511888	1.10244192252047	0.000171887633128223
"200678_x_at"	0.0270691006732423	0.0261070545498454	1.01826075655204	0.33875212998842
"200679_x_at"	0.0396963561720573	-0.131281443329978	-1.09526611627562	0.00160842709357523
"200680_x_at"	0.0244025755319903	-0.0296113493747123	-1.02073711016686	0.22979273686625
"200681_at"	0.0310156999051781	0.0741651567452035	1.05275166464522	0.0200007654600491
"200682_s_at"	0.0405794142719297	-0.175654078270721	-1.12947636227611	5.88949781012983e-05
"200683_s_at"	0.0265942626632465	-0.000297536405153459	-1.00020625778856	0.991111205563756
"200684_s_at"	0.0342571694430961	-0.0472071366505879	-1.03326272895582	0.173400510459176
"200685_at"	0.0432879347282929	0.109443863214945	1.07881229076677	0.0141584539584897
"200686_s_at"	0.0436540436002203	-0.0815060821460829	-1.05812207654516	0.0668595373137818
"200687_s_at"	0.0295607975899943	0.0264479774052212	1.01850140989547	0.374584219807775
"200688_at"	0.0279765741045026	0.0370068363530763	1.02598300704753	0.191013050747091
"200689_x_at"	0.0386440587271322	-0.0692606614793139	-1.04917887270054	0.078216980159461
"200690_at"	0.0418918943981196	-0.0398167284395737	-1.02798322936951	0.345754018931482
"200691_s_at"	0.0256315980123048	-0.0624395426090769	-1.04423002214289	0.0178875925701363
"200692_s_at"	0.0550939007361513	-0.226746979911961	-1.17019339477145	0.000121592669073828
"200693_at"	0.0291508042566027	-0.0983843660667989	-1.07057388514406	0.001310039227215
"200694_s_at"	0.0241400560592912	0.00825973796179419	1.00574163444025	0.733447092281411
"200695_at"	0.0252949771211934	-0.0259767089562272	-1.01816876219191	0.308635405877332
"200696_s_at"	0.0446568804484642	0.0245793437983842	1.01718306201961	0.584120006997527
"200697_at"	0.0245320565774306	0.0239758354197658	1.01675764285468	0.332397830341509
"200698_at"	0.0452599800342689	-0.0939940179523598	-1.06732091244924	0.0421878654279146
"200699_at"	0.0397473514785507	-0.0710429213639289	-1.0504757960647	0.0790154668950381
"200700_s_at"	0.0375841998145043	-0.0871369062152714	-1.06225998610309	0.0239097549674201
"200701_at"	0.0362046615113788	0.0364121045572689	1.02556014639716	0.318652634575932
"200702_s_at"	0.0543116697979637	-0.0669505832586502	-1.04750024638085	0.222573127965027
"200703_at"	0.0297840622481105	-0.00314391765882003	-1.00218157383809	0.916291869796199
"200704_at"	0.0418015214889629	-0.00146779264733826	-1.00101791405836	0.972107863059879
"200705_s_at"	0.0339498007094751	-0.0546083412410923	-1.03857711505242	0.113063733409563
"200706_s_at"	0.0575970612885574	0.0189081613288383	1.01319240059209	0.743859628143926
"200707_at"	0.0378079499626178	0.0310803009265807	1.02177695360551	0.414354138329344
"200708_at"	0.020467535750099	-0.0151499863297865	-1.01055650110873	0.462116561632195
"200709_at"	0.040986560760591	-0.0194662226129007	-1.01358439807479	0.636582051477547
"200710_at"	0.0320046080885978	-0.0309658840082926	-1.02169592197295	0.337221431239845
"200711_s_at"	0.0207642849653013	-0.00306038515864957	-1.00212354888714	0.883329100267337
"200712_s_at"	0.035219033731872	-0.0270055746222504	-1.01889513365424	0.446264313794603
"200713_s_at"	0.0253831199639421	0.0204314417138241	1.01426275236134	0.424096337435407
"200714_x_at"	0.0216546893803861	0.0811349473666606	1.05784990856462	0.000409375206463926
"200715_x_at"	0.0229499098611265	0.0309278317979932	1.02166897429914	0.18293187367016
"200716_x_at"	0.0264432569087624	-0.0074806989331856	-1.00519869192088	0.7782465320013
"200717_x_at"	0.0196485137670096	0.037420276031746	1.02627706979706	0.0617262323479236
"200718_s_at"	0.0212618912684544	-0.0099385660658452	-1.0069126720249	0.641910103579835
"200719_at"	0.0313062566733303	-0.0484678715395839	-1.03416606589552	0.126925542346757
"200720_s_at"	0.0334194747947352	-0.0572588946281059	-1.04048696732166	0.0919006348035334
"200721_s_at"	0.0236080797899544	-0.0879107154818398	-1.06282989663772	0.000440739573260665
"200722_s_at"	0.0331637191134595	-0.0248572768286972	-1.01737903968382	0.456514759178877
"200723_s_at"	0.0319491186397707	0.0139478074952473	1.00971476839639	0.664021709333035
"200724_at"	0.0320799949534535	0.0266991492185954	1.01867874544387	0.408613906607969
"200725_x_at"	0.0234440261097204	0.031987486265413	1.02241966224661	0.177617411232504
"200726_at"	0.0456782384695987	-0.00591576858303361	-1.0041089168602	0.897394975490691
"200727_s_at"	0.106505951574924	-0.010910263605085	-1.00759108576265	0.91875634498765
"200728_at"	0.037844067498845	-0.0127110318250804	-1.00884954358931	0.738153577442261
"200729_s_at"	0.0383634817089111	0.0155576073778595	1.0108420654773	0.686553608907267
"200730_s_at"	0.0799539143239091	-0.067241527477588	-1.0477115140881	0.403741580257025
"200731_s_at"	0.0465175248514854	-0.0137829626596701	-1.00959940322814	0.768044417067289
"200732_s_at"	0.040386620363031	0.00484914039235615	1.00336682305033	0.904837223544311
"200733_s_at"	0.0531849860491234	0.0148990890496237	1.01038077177942	0.780352182637577
"200734_s_at"	0.0349230316218978	-0.0739944993589206	-1.0526271412936	0.038328556930778
"200735_x_at"	0.0230764904858463	0.00207643677278383	1.00144031254989	0.928607392769117
"200736_s_at"	0.0507360310578317	-0.107677478366156	-1.07749223938111	0.0380197746147822
"200737_at"	0.0482339992853288	-0.0596355259411837	-1.04220243163716	0.221216957533425
"200738_s_at"	0.0482526845516541	-0.158052638922029	-1.11578003251318	0.00176837284855534
"200739_s_at"	0.0378319095564192	-0.134229195808626	-1.09750628063336	0.000768512782993044
"200740_s_at"	0.0296207345761709	-0.063968803993831	-1.04533749618517	0.0348797119113359
"200741_s_at"	0.0279180925317669	-0.00119090486073821	-1.0008258131426	0.966118914148197
"200742_s_at"	0.0463589485365723	0.0165217786250707	1.01151784974006	0.722821265645795
"200743_s_at"	0.0338033065049635	0.0687914588672117	1.04883770744279	0.0463463499766096
"200744_s_at"	0.0458336000444082	-0.13578063859458	-1.09868714978077	0.00439361402955739
"200745_s_at"	0.0480516347987422	-0.0705177342114471	-1.05009345886171	0.147539895489724
"200746_s_at"	0.0288429308418703	-0.0763346710716396	-1.05433597589333	0.0104094986171887
"200747_s_at"	0.0260612496356302	0.0624389538023661	1.04422959596168	0.0197720548437083
"200748_s_at"	0.0280367971261586	-0.0324396162286286	-1.02274013122599	0.251920264597488
"200749_at"	0.0337523555666378	-0.0291415786683718	-1.02040479161121	0.391417256694448
"200750_s_at"	0.0381551546057375	-0.142191769557577	-1.10358042319988	0.000436638762045673
"200751_s_at"	0.0556394557298951	-0.0654194101018326	-1.04638909441867	0.244408059457134
"200752_s_at"	0.0277052343161711	-0.00887695513004547	-1.00617200523425	0.749791752368581
"200753_x_at"	0.0479025031516725	-0.129206154768628	-1.09369173005133	0.00909962535842041
"200754_x_at"	0.0294519323476886	-0.0586621797920577	-1.04149952383618	0.0510286906340496
"200755_s_at"	0.0434824980583327	-0.123673447457021	-1.0895054758543	0.00610966441866777
"200756_x_at"	0.0290725586309438	0.00314422600139537	1.00218178803116	0.914242883159539
"200757_s_at"	0.0355583635432444	-0.01753391289981	-1.01222773718329	0.623770641500076
"200758_s_at"	0.0232733292678863	0.000384621423624088	1.00026663479611	0.986870300930655
"200759_x_at"	0.0259765733691289	0.0401815216267534	1.02824319331374	0.127250172037197
"200760_s_at"	0.0402743102776273	-0.041434417967482	-1.0291365503009	0.307770569101062
"200761_s_at"	0.0349689655370827	0.0746928524365321	1.05313680087492	0.0368412677808042
"200762_at"	0.0235239066997517	-0.0163387379637342	-1.01138952244558	0.490057949647212
"200763_s_at"	0.0263573016774573	-0.00957950004080504	-1.006662097141	0.717569546295278
"200764_s_at"	0.0283093009772594	-0.0301616953938306	-1.02112656583843	0.291020307745478
"200765_x_at"	0.0312962242799835	0.0049285766827347	1.00342207099281	0.875403097170848
"200766_at"	0.0324116469758401	-0.020695626944089	-1.01444850039982	0.525603333645044
"200767_s_at"	0.0346598383242828	0.00395854182413439	1.00274761991203	0.90945815024546
"200768_s_at"	0.0299142896680716	0.0216015263327792	1.01508569456561	0.473076860034054
"200769_s_at"	0.0329523089123219	0.0123568178873684	1.00860187884083	0.709011828162385
"200770_s_at"	0.0445350608802949	-0.0127206691337981	-1.00885628280079	0.77615988496574
"200771_at"	0.038380772702615	-0.0339270802384871	-1.02379515228837	0.38030563886647
"200772_x_at"	0.057715303267333	-0.00414125237619944	-1.0028746212311	0.943041073030181
"200773_x_at"	0.0183263986498849	0.0211560593576428	1.01477231069974	0.252989286777307
"200774_at"	0.0358528932915228	0.0150523183139099	1.01048809045728	0.676130554254848
"200775_s_at"	0.0453950937896158	-0.099517434479515	-1.0714150261275	0.032318682287851
"200776_s_at"	0.0399655236379554	-0.0448925639179015	-1.03160635372933	0.265867635752309
"200777_s_at"	0.0308738276550319	-0.00193754901531043	-1.00134390887443	0.950172130467389
"200778_s_at"	0.0455816773041507	0.0669555664494852	1.04750386454165	0.147168097157704
"200779_at"	0.033536170066728	-0.156034058665173	-1.11421995464332	1.89792129033036e-05
"200780_x_at"	0.0195526844044148	-0.0513486466712271	-1.03623315299	0.0109832282450276
"200781_s_at"	0.0344674899781782	0.0204664388499713	1.01428735681423	0.554922671019696
"200782_at"	0.0458517913591424	-0.0751835114865348	-1.05349503249518	0.106387810636292
"200783_s_at"	0.0445555356224402	-0.12127763218915	-1.08769768722511	0.00851855689584802
"200784_s_at"	0.0166791095173434	-0.020220631188182	-1.01411455635533	0.230217418624848
"200785_s_at"	0.0366479522871105	-0.000613306131752213	-1.00042520178871	0.986704431946454
"200786_at"	0.0331013140685809	-0.0397715879162032	-1.02795106527819	0.23435399943828
"200787_s_at"	0.0597912934677595	-0.0418528807926969	-1.02943510116534	0.486688991921919
"200788_s_at"	0.0331919644969698	-0.0129272034347955	-1.00900071966132	0.698332364431977
"200789_at"	0.0228094942108332	0.0372860233647307	1.02618157212132	0.107443002978091
"200790_at"	0.0474769035497148	-0.0459220651619382	-1.03234276649728	0.337367068599501
"200791_s_at"	0.0456389550522997	-0.0571857287287256	-1.04043420063693	0.215148034447467
"200792_at"	0.0276034466946164	0.0104044196219112	1.00723786174063	0.707581904416016
"200793_s_at"	0.0258840515524927	-0.055615490905295	-1.0393024019334	0.0357779152564791
"200794_x_at"	0.0327915189129087	0.0217740583127763	1.01520709597921	0.509267434565464
"200795_at"	0.0229076821037745	0.0203528121298253	1.01420747464653	0.377895421105072
"200797_s_at"	0.047808057211901	0.0709308194075367	1.05039417395228	0.143222382162235
