"standard_error_unadjusted"	"coefficient_unadjusted"	"fold_change_up_or_down_regulated_unadjusted"	"p_unadjusted"	"standard_error_adjusted"	"coefficient_adjusted"	"fold_change_up_or_down_regulated_adjusted"	"p_adjusted"
"200013_at"	0.048840188856771	0.0630486662434451	1.04467100202038	0.201767696953785	0.0245120524403285	0.00284375298012933	1.00197308333264	0.908115235276243
"200014_s_at"	0.0697897996001355	0.0317929657992488	1.02228181735454	0.65038350730447	0.0364426680428792	-0.0275325276949661	-1.0192673592272	0.453564042821034
"200015_s_at"	0.100962992062064	0.203129278638726	1.1511926440703	0.0488020603385698	0.0529418736419754	0.119665981095558	1.08648328616331	0.0282789711649797
"200016_x_at"	0.0381436936254192	-0.00205758758117541	-1.00142722855328	0.957162772320284	0.0338725114576475	-0.0386561208192258	-1.0271565783014	0.259323578088058
"200017_at"	0.0366767231444659	-0.0260915958764441	-1.01824984580813	0.479643476234742	0.0274542678697831	-0.0564983832486855	-1.039938622989	0.0449387895190304
"200018_at"	0.0466410467248546	0.0760349898996253	1.05411698863845	0.108383535786004	0.0259428137059744	-0.0302694648051881	-1.02120284690694	0.248947782046884
"200019_s_at"	0.0596237188228517	0.128562035386805	1.0932035390042	0.0351540634202912	0.0265544996937857	0.0355067379735917	1.02491675567556	0.187355740173337
"200020_at"	0.0901456591838128	-0.0364527796637789	-1.02558906127873	0.687398140032575	0.0387735415888332	-0.0344068972982759	-1.02413570664202	0.37920893043198
"200021_at"	0.0285188887098273	-0.0492469237750442	-1.03472466416589	0.0894331798208347	0.0150769797244559	-0.0206414646765634	-1.01441041625997	0.177220133982258
"200022_at"	0.0574772155235802	0.0407739117277558	1.02866549057385	0.480874976983495	0.0300462138979758	0.0268024281193963	1.01875167269737	0.376731237403553
"200023_s_at"	0.0742882438316963	0.186890902199767	1.13830794602541	0.0146196743015872	0.0427131869617683	0.126993918956793	1.09201594282547	0.00456138182004552
"200024_at"	0.0545156605028684	0.0258181655484675	1.01805687778722	0.637538842727579	0.0372474587689504	-0.018771700525036	-1.01309656986778	0.616539151039317
"200025_s_at"	0.0421260816789393	0.10592018927273	1.07618058820206	0.0146717755802942	0.0244142884822364	0.0262020967238389	1.01832783996267	0.288425942661253
"200026_at"	0.0293951719583996	0.0632249042943792	1.04479862568435	0.0355942290011405	0.0188875594019878	0.00693175325366897	1.00481628642507	0.715198495985511
"200027_at"	0.0678419947951128	0.0537586248760525	1.03796559556185	0.431296832534204	0.0238528043434633	0.0120091962362048	1.00835888250171	0.616889106524833
"200028_s_at"	0.0633233639363185	0.0452195932622764	1.03184022421461	0.477977358162948	0.0353916273106388	0.0336196374143015	1.02357700158537	0.346808842037122
"200029_at"	0.0464789415135565	0.0342740844133136	1.02404143019878	0.463795078248709	0.0302776554571397	-0.0386331960598944	-1.02714025667444	0.207983625091799
"200030_s_at"	0.0886797140405656	-0.141780493403514	-1.10326586495225	0.115208782922536	0.0281991341616495	-0.0553030378424328	-1.03907733839096	0.055556120436909
"200031_s_at"	0.0345545167731082	0.0624641974142673	1.044247867569	0.0757514955498573	0.0185446530750015	-9.78975325865844e-06	-1.00000678576289	0.99958093881255
"200032_s_at"	0.0329942185353332	0.0223549369978719	1.01561593560328	0.500711099221232	0.0267976750291902	-0.0089520708968241	-1.00622439423342	0.739758736108555
"200033_at"	0.0842129266023121	-0.164477478753104	-1.12076008299591	0.0555539934484336	0.064166014021494	-0.103378445809344	-1.07428623997357	0.113579691481537
"200034_s_at"	0.0556045763571321	-0.0576319638659006	-1.04075606360496	0.30421663557858	0.0334717338361128	-0.0258890820400067	-1.01810692217941	0.442965139740545
"200035_at"	0.0511870358378674	-0.0470647905464975	-1.03316078525737	0.361595365695663	0.0315404622861862	-0.0556333018528605	-1.03931523283274	0.083987675545669
"200036_s_at"	0.0769953571079565	0.065995476871087	1.04680700002635	0.394838119151147	0.0436472866993993	0.0157255262326977	1.01095972674031	0.72018136042055
"200037_s_at"	0.0710362235984642	0.0485988001013613	1.03425992358273	0.496564575317875	0.0306771662279562	0.0323259624935163	1.02265956419398	0.297167406723854
