"standard_error_unadjusted"	"coefficient_unadjusted"	"fold_change_up_or_down_regulated_unadjusted"	"p_unadjusted"	"standard_error_adjusted"	"coefficient_adjusted"	"fold_change_up_or_down_regulated_adjusted"	"p_adjusted"
"200659_s_at"	0.0429776365732687	0.0773950352730859	1.05511118551515	0.0768426194560601	0.0313529310617607	0.086433950384702	1.06174252403495	0.00817664259964415
"200662_s_at"	0.148670294512554	-0.060803286883397	-1.0430463632705	0.684034626485253	0.040224594563234	0.0874772908281602	1.06251064171768	0.0345072029858663
"200667_at"	0.0757826394936892	-0.182296658334508	-1.13468878460716	0.0193031989747244	0.0367664405455867	-0.115897491885995	-1.08364896737141	0.00276383373040491
"200668_s_at"	0.105938335715255	-0.336669213894678	-1.26283768086082	0.00236142129098683	0.0519926642859474	-0.225446467887127	-1.16913900364166	7.20362962760392e-05
"200671_s_at"	0.158052924052177	-0.470223545131267	-1.38532410700495	0.00423957035441951	0.0633770096232044	-0.131125694032232	-1.09514788080942	0.0438443358221175
"200677_at"	0.115692241299914	0.279014489216661	1.21336574621344	0.0190088779795977	0.0405046024276676	0.162893768208335	1.1195304498152	0.000199286592451266
"200679_x_at"	0.135261299978218	-0.450862335735389	-1.36685701803944	0.00148666778079086	0.0461781302753041	-0.151986676598597	-1.11109846752657	0.00185352975255529
"200681_at"	0.0857117654083778	0.0756706663724808	1.05385082626747	0.380900187747137	0.036338412247382	0.0858622163742125	1.06132184327604	0.0221486207567672
"200682_s_at"	0.0934212249328079	-0.385659996416065	-1.30645732151247	0.000116566963401393	0.0466956709589843	-0.203357602644977	-1.15137484870074	6.77158429439219e-05
"200685_at"	0.106454676933978	0.28070422827015	1.21478771868585	0.0106794703660107	0.0506702899407471	0.126704952522049	1.09179723800947	0.0157930338487987
"200691_s_at"	0.0800447913928862	-0.0921852882292814	-1.0659836337014	0.254101758098222	0.0300215047633451	-0.0722872808888675	-1.05138224782363	0.0198561174389335
"200692_s_at"	0.140221924949697	-0.420099024637862	-1.33801939147705	0.00399618970129354	0.0635580728676314	-0.262508691490888	-1.19956280276413	0.000140713448885322
"200693_at"	0.0959072269882108	-0.23086159960871	-1.17353559345123	0.0192258636852843	0.0338894780196767	-0.113901191580958	-1.08215052682144	0.00151237683427764
"200698_at"	0.0932166484158786	-0.134818397138729	-1.09795459729586	0.153387383491783	0.0531282302873386	-0.108818413679535	-1.07834469616919	0.0459159082818793
"200700_s_at"	0.0802877538544608	-0.143079472228518	-1.10425967468218	0.0798816211507339	0.044054634094021	-0.100879823140385	-1.07242727963508	0.0263731482419266
"200714_x_at"	0.0335678027166101	0.071101299487604	1.05051830404107	0.0383856539008546	0.0250827660661813	0.0939312571028456	1.06727448232488	0.000475226712463606
"200721_s_at"	0.0707551841929763	-0.157015702758198	-1.11497835444572	0.0303353940937464	0.0273519163907203	-0.101775674798958	-1.07309341771658	0.000511579651065292
"200734_s_at"	0.0935901722201962	-0.091694013841945	-1.06562070093538	0.331215040261337	0.040984472590223	-0.0856646435236997	-1.06117650831716	0.0418135148622943
"200736_s_at"	0.0932569922564382	-0.201110643090856	-1.14958300841259	0.0351297637235598	0.0595408641132702	-0.124659979859106	-1.09025074772343	0.041484796927789
"200738_s_at"	0.15523049296817	-0.333025981150166	-1.2596526645269	0.0360502928894725	0.0561476531895527	-0.182980128097905	-1.13522646525545	0.00203600246297759
"200739_s_at"	0.0902738924087052	-0.308459507059304	-1.23838466100231	0.00115279268238593	0.0439090704551594	-0.15539933791082	-1.1137298559317	0.000890347521325144
"200740_s_at"	0.0942175209756611	-0.0388658926276419	-1.02730594053836	0.681459067621606	0.0347536672593502	-0.074057731834742	-1.05267327833368	0.038137662114533
"200744_s_at"	0.193485646807604	-0.578628226351388	-1.49342856015684	0.00405803572569212	0.0534758859876024	-0.157195468628071	-1.11511729409419	0.00500235128494786
"200746_s_at"	0.0825210085659756	-0.216952734051178	-1.16227602810589	0.010900160599854	0.033733710720059	-0.0883738986344331	-1.06317117731156	0.0116813133720587
"200747_s_at"	0.0588611615436328	-0.013588954277385	-1.00946364510046	0.818218754263749	0.0305327907727011	0.0722865992176972	1.05138175104727	0.021900815640595
"200750_s_at"	0.158717266684672	-0.348028906456136	-1.27282043779624	0.0322800823125117	0.044204574195394	-0.164617739922385	-1.12086905041945	0.00050682776040117
"200753_x_at"	0.100838400138986	-0.252839984810524	-1.19155040753042	0.014935675287575	0.0560044554268953	-0.149584081049508	-1.10924963700824	0.0102368971666808
"200755_s_at"	0.0698939352712416	-0.287383587400575	-1.22042495680732	0.000123213035813555	0.0507804207487292	-0.143178775200071	-1.10433568523046	0.00692072058277899
"200761_s_at"	0.0664620103886645	0.0930398240869946	1.06661522322255	0.166781306575499	0.0410343189492548	0.0864731383167664	1.06177136454373	0.0402295119073695
"200775_s_at"	0.0764419569244078	-0.26070651374859	-1.19806527512595	0.0011756349472523	0.0532512961608512	-0.11521296343568	-1.08313492069239	0.0354015754036211
"200779_at"	0.0491533183569973	-0.166128268353488	-1.12204323566687	0.00129111626953522	0.0384324835872958	-0.180643184681492	-1.13338906205816	2.14433623995042e-05
"200780_x_at"	0.044558993355427	-0.0802443665645903	-1.05719709555004	0.0768369234617873	0.0228715039977998	-0.0594471690548004	-1.04206637156539	0.0123125977565632
"200783_s_at"	0.168444940352008	-0.0951414123503626	-1.06817010449303	0.57433618238448	0.0520819076515652	-0.140405100634408	-1.10221456806543	0.00959464198718405
"200793_s_at"	0.0560150511779958	-0.130343266295544	-1.09455410198719	0.0234211959226242	0.0303714001344477	-0.0643869644916151	-1.0456405277963	0.0390959227910617
"200801_x_at"	0.0327956577714454	-0.0933925103484647	-1.06687600357446	0.00605107159870857	0.0245881144835861	-0.0839117707091103	-1.05988796302967	0.00129849846182421
"200806_s_at"	0.207608989598844	-0.548349393359061	-1.46241157384623	0.0105560076169978	0.0537119267420504	-0.248143566816872	-1.18767784950077	2.80959338406786e-05
"200807_s_at"	0.0895863850761492	-0.0924049253240631	-1.06614593229168	0.30653415626341	0.0434107003418775	-0.132555732916477	-1.09623395960522	0.00365020944337893
"200809_x_at"	0.0580567788250423	0.264440120423019	1.20116981034484	2.68108695602418e-05	0.0376012808617376	0.150477549781614	1.10993681398782	0.0002121767222447
"200816_s_at"	0.154895113175476	-0.233607874820311	-1.17577163158315	0.136848020870146	0.0278002838000043	-0.0636562609670754	-1.04511106055666	0.0263800098193332
"200817_x_at"	0.0460017495722752	-0.0406367496100294	-1.02856769635803	0.380619638757235	0.0402751207884559	-0.110410135237536	-1.07953508752894	0.0085155883973041
"200822_x_at"	0.0905195730132114	-0.185354365344215	-1.13709624086082	0.0450521389629395	0.0366854663929874	-0.114596450234305	-1.08267215877876	0.00299639940020276
"200834_s_at"	0.0498053165592178	0.109774850791505	1.07905982362656	0.03143266042905	0.0303571803348138	0.0699949690156913	1.04971302304422	0.0253998198005339
"200840_at"	0.097920576097367	0.131960909810014	1.09578207555072	0.182929043412461	0.0290179537633109	0.0691007284345391	1.04906257017895	0.0211809343134737
"200844_s_at"	0.0905170029433893	0.206612454663583	1.15397538813442	0.0260755638020004	0.0529306297411143	0.139654489338068	1.10164125250316	0.0111334254910658
"200845_s_at"	0.134000496928187	0.351829230229011	1.27617770053927	0.0110001623416514	0.0723298815693637	0.229708480327259	1.17259798306122	0.00258440098018407
"200848_at"	0.143638278137648	0.0760466988448061	1.05412554391019	0.598492349135458	0.0643858665345338	0.230755807536024	1.17344954185513	0.000777597549135638
"200849_s_at"	0.113815277164427	0.18901940381636	1.13998860509578	0.102068296880938	0.0623829257453511	0.211885768284452	1.15820109690579	0.00136201327794508
"200850_s_at"	0.129462145891619	0.157878021064245	1.11564499127233	0.227510380226158	0.0647543037301991	0.175473146833082	1.12933472113763	0.00925080474899757
"200855_at"	0.0325317303315599	0.099443294413703	1.07135996754806	0.00335841873869891	0.0279822444990983	0.0720671653166252	1.05122184805454	0.0130791398714448
"200859_x_at"	0.0745316797894392	0.044138109007801	1.03106701798142	0.555975439274731	0.0352413859928549	0.07575957323913	1.05391577239903	0.036539818557482
"200862_at"	0.139183417972538	-0.336787568276244	-1.2629412845327	0.0186315834715617	0.0561243481056601	-0.120208045485554	-1.08689158766777	0.0372053615798701
"200866_s_at"	0.201496693201487	-0.561048515462105	-1.47534106954301	0.00719617397970398	0.0598986637330589	-0.137202432493849	-1.09977045334332	0.026329681897101
"200881_s_at"	0.168363659008152	-0.475841248896441	-1.39072893042703	0.00641855701037564	0.0689315931250901	-0.282617632567086	-1.21639992503245	0.000155091661742811
"200894_s_at"	0.127978597074871	-0.461186783329219	-1.37667382572547	0.000645551206013052	0.0941081852748139	-0.306342530253743	-1.23656881703694	0.00205784535103496
"200895_s_at"	0.0780591353732394	-0.153021560178505	-1.11189577398251	0.0546848316179866	0.0566715603697889	-0.131158808421346	-1.0951730181865	0.0248815244308038
"200896_x_at"	0.0549730013023462	-0.0478799201363597	-1.03374469097568	0.38729989905591	0.038258999589995	-0.107521505737679	-1.07737575585016	0.00709307117984153
"200897_s_at"	0.151145522986469	0.273506450135166	1.20874209116348	0.0754591457858021	0.0498727207662232	0.113301613563381	1.0817008830356	0.0275240542577209
"200899_s_at"	0.104089004334943	0.250980048779759	1.19001523931499	0.0190320639135742	0.0593451944370418	0.191460486096555	1.14191913201077	0.00223723062357219
"200910_at"	0.0740252504236464	-0.0916111680510324	-1.06555951014138	0.220779461833816	0.0449139408924128	-0.099945270822336	-1.07173280517905	0.0306982824388676
"200914_x_at"	0.163086274819401	-0.410701489966907	-1.32933202578954	0.0145244959652742	0.0749129355473631	-0.19914376251241	-1.14801680640012	0.0105763174273277
"200919_at"	0.0449381906389545	0.0558655027825194	1.03948252347867	0.218725272825771	0.0263659362601559	0.0672528246061654	1.04771971830153	0.0139238448474436
"200921_s_at"	0.111086425878329	0.289313380140267	1.22205852663905	0.0116272732949388	0.0663885460996735	0.232560587081492	1.1749184198195	0.000992301256660672
